URL,Title,Address
https://orlando.craigslist.org/sec/d/security-license-training/6282559530.html,"Security license training, Start any day!  Live Scan Fingerprinting!",Orlando
https://orlando.craigslist.org/sec/d/now-hiring-armed-security/6282558369.html,Now Hiring: Armed Security w/Career Advancement & Higher Pay,Orlando
https://orlando.craigslist.org/sec/d/emergency-response-tx-12-hour/6282055573.html,EMERGENCY RESPONSE - TX - 12 HOUR SHIFTS - 2 WEEK COMMITMENT,TEXAS
https://orlando.craigslist.org/sec/d/security-officer-immediate/6281732006.html,Security Officer Immediate Hire!,Orlando and Kissemme Fl
https://orlando.craigslist.org/sec/d/security-officer-3rd-shift/6280559414.html,"Security Officer, 3rd Shift - Hilton Buena Vista Palace",Orlando
https://orlando.craigslist.org/sec/d/unarmed-security-officers/6279414273.html,Unarmed security officers,Orlando
https://orlando.craigslist.org/sec/d/security-training-and-help/6279231797.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/class-licensed-security/6278726993.html,Class D Licensed Security Officers Needed for (Overnight Shift),Downtown Orlando
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6278724944.html,High End Class D Licensed Security Officers Needed {Second Shift},Orlando
https://orlando.craigslist.org/sec/d/asset-protection-position-at/6278625069.html,Asset Protection Position at American Girl Orlando!!,Florida Mall
https://orlando.craigslist.org/sec/d/6010security-guardarmed/6278226394.html,6010_Security Guard_Armed,"Kissimmee, Fl"
https://orlando.craigslist.org/sec/d/armed-security-for-orlando/6277115014.html,Armed security for orlando,
https://orlando.craigslist.org/sec/d/security-officer-positions/6276784554.html,Security Officer Positions - Orlando FL,"Orlando, FL"
https://orlando.craigslist.org/sec/d/orlando-security-officer/6276772702.html,Orlando Security Officer needed 9.50 per hour FULL TIME UNARMED,Orlando
https://orlando.craigslist.org/sec/d/security-officers-needed-club/6274875653.html,Security Officers Needed - CLUB BOUNCERS NEEDED $$ 12.00 $$,
https://orlando.craigslist.org/sec/d/security-training-and-help/6274870626.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/unarmed-security/6274813276.html,Unarmed Security,Orlando
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6274222319.html,High End Class D Licensed Security Officers Needed {Second Shift},Orlando
https://orlando.craigslist.org/sec/d/security-officer-immediate/6273977217.html,Security Officer Immediate Hire!,Kissemme Fl
https://orlando.craigslist.org/sec/d/security-officer-ft/6273872828.html,Security Officer - FT,Kissimmee
https://orlando.craigslist.org/sec/d/now-hiring-event-staff/6273809967.html,NOW HIRING EVENT STAFF & LICENSED EVENT SECURITY GUARDS (CLASS D),"ORLANDO, FL"
https://orlando.craigslist.org/sec/d/now-hiring-armed-security/6273431487.html,Now Hiring: Armed Security w/Career Advancement & Higher Pay,Orlando
https://orlando.craigslist.org/sec/d/medical-marijuana-budtenders/6273419450.html,"✚ Medical Marijuana Budtenders, Trimmers & Growers. ✚","Orlando, Florida"
https://orlando.craigslist.org/sec/d/security-training-and-help/6269293661.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/security-officer-3rd-shift/6267794534.html,"Security Officer, 3rd Shift - Hilton Lake Buena Vista",Orlando
https://orlando.craigslist.org/sec/d/the-home-for-top-security/6266986823.html,The Home for Top Security Professionals is with our Elite Agency!,Orlando
https://orlando.craigslist.org/sec/d/take-the-online-florida/6266985378.html,Take the Online Florida Private Investigator Intern Course,Orlando
https://orlando.craigslist.org/sec/d/security-license-training/6266983722.html,"Security license training, Start any day!  Live Scan Fingerprinting!",Orlando
https://orlando.craigslist.org/sec/d/security-officer/6266585244.html,Security Officer,Wyndham LBV Resort
https://orlando.craigslist.org/sec/d/security-training-and-help/6266444167.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/courtesy-officer/6265797344.html,Courtesy Officer (17-13864),"Altamonte Springs, FL"
https://orlando.craigslist.org/sec/d/security-officer-immediate/6265739117.html,Security Officer Immediate Hire!,Kissemme Fl
https://orlando.craigslist.org/sec/d/13-15-hr-security-specialists/6265730173.html,$13-15 /HR Security Specialists,
https://orlando.craigslist.org/sec/d/full-time-and-part-time/6265504477.html,"Full Time and Part Time Security Officers Davenport, Kissimmee","Davenport, Kissimmee"
https://orlando.craigslist.org/sec/d/protection-officers-licensed/6265450993.html,Protection Officers ( D & G Licensed),Orlando
https://orlando.craigslist.org/sec/d/get-your-license-and/6265220521.html,Get your D License and Immediate Job Placement,"Orlando, FL"
https://orlando.craigslist.org/sec/d/work-orlando-city-soccer/6265202750.html,"Work Orlando City Soccer Games, UCF Football and Concerts in Orlando!",Orlando
https://orlando.craigslist.org/sec/d/security-officer-for-plaza/6263832294.html,Security Officer for Plaza (midnight shift-4 hrs per night) $10/hr,West Colonial Drive
https://orlando.craigslist.org/sec/d/unarmed-security-post/6263584954.html,Unarmed security post,Orlando
https://orlando.craigslist.org/sec/d/security-officers-public/6260195180.html,Security Officers/Public Safety Officers,N Lake County and Kissimmee
https://orlando.craigslist.org/sec/d/freeman-security-hiring-armed/6259969535.html,Freeman Security Hiring Armed Security,Orlando
https://orlando.craigslist.org/sec/d/unarmed-security-guard-pt/6259586371.html,Unarmed Security Guard - PT Weekends,
https://orlando.craigslist.org/sec/d/hiring-licensed-officers-for/6259409320.html,Hiring D  Licensed Officers for Bars and Nightclubs,Downtown Orlando
https://orlando.craigslist.org/sec/d/security-officer-immediate/6258672026.html,Security Officer Immediate Hire!,Orlando and Kissemme Fl
https://orlando.craigslist.org/sec/d/class-licensed-security/6258120285.html,Class D Licensed Security Officers Needed for (Overnight Shift),Downtown Orlando
https://orlando.craigslist.org/sec/d/security-training-and-help/6257985941.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6256838776.html,High End Class D Licensed Security Officers Needed {Second Shift},Orlando
https://orlando.craigslist.org/sec/d/general-laborers-wanted-asap/6256748820.html,General Laborers Wanted ASAP / Necesitamos Trabajadores Inmediatamente,Orlando
https://orlando.craigslist.org/sec/d/security-supervisor/6256116888.html,Security Supervisor,Orlando
https://orlando.craigslist.org/sec/d/security-officer-positions/6255381976.html,Security Officer Positions - Orlando FL,"Orlando, FL"
https://orlando.craigslist.org/sec/d/security-training-and-help/6255164480.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/12hr-post-orlando-immediate/6255076447.html,$12Hr  D Post  orlando  immediate start,orlando
https://orlando.craigslist.org/sec/d/armed-protection-and-patrols/6254191871.html,"Armed Protection and Patrols Officers, Full time!",Orlando
https://orlando.craigslist.org/sec/d/aviation-security-positions/6254100190.html,AVIATION SECURITY POSITIONS AVAILABLE MCO Airport,MCO AIRPORT
https://orlando.craigslist.org/sec/d/armed-tactical-security/6253908745.html,Armed Tactical Security Officer (Floater as needed),Orlando
https://orlando.craigslist.org/sec/d/armed-security-officers/6253907748.html,Armed Security Officers,Orlando
https://orlando.craigslist.org/sec/d/security-officer-license/6253906147.html,Security Officer (D license),Orlando
https://orlando.craigslist.org/sec/d/riegs-security-training-range/6253820656.html,Rieg's Security Training *RANGE ON SITE*,S. Orange Blossom Trail
https://orlando.craigslist.org/sec/d/part-time-security-officer/6253797806.html,Part Time Security Officer Needed IMMEDIATELY (Clermont),"Clermont, Fl"
https://orlando.craigslist.org/sec/d/looking-for-security-system/6253147527.html,Looking for Security System Sales Reps Extremely Competitive Payouts,orlando
https://orlando.craigslist.org/sec/d/now-hiring-security-officers/6252511004.html,NOW HIRING SECURITY OFFICERS - START IMMEDIATELY,
https://orlando.craigslist.org/sec/d/hiring-license-security/6251587304.html,Hiring D License Security Officers in Longwood,Longwood
https://orlando.craigslist.org/sec/d/hiring-license-security/6251469060.html,Hiring D License Security Officers in Zellwood Station,Zellwood Station
https://orlando.craigslist.org/sec/d/scheduler-dispatcher/6249562961.html,SCHEDULER/DISPATCHER,Winter Park
https://orlando.craigslist.org/sec/d/security-officers-needed-for/6249006979.html,Security Officers Needed for (Overnight Shift),Downtown Orlando
https://orlando.craigslist.org/sec/d/unarmed-security-positions/6248922312.html,Unarmed Security positions available,Davenport/Kissimmee
https://orlando.craigslist.org/sec/d/excellent-pay-for-auto/6248536006.html,Excellent Pay for Auto Dealership  Night  Security Officer,Orlando
https://orlando.craigslist.org/sec/d/security-officer-3rd-shift/6248078286.html,"Security Officer, 3rd Shift - Hilton Buena Vista Palace",Orlando
https://orlando.craigslist.org/sec/d/28-hr-evening-class/6247626760.html,28 Hr Evening Class,Orlando
https://orlando.craigslist.org/sec/d/and-post-hiring-immediately/6247616129.html,G and D Post HIRING IMMEDIATELY,orlando
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6247253869.html,High End Class D Licensed Security Officers Needed {Second Shift},Orlando
https://orlando.craigslist.org/sec/d/full-time-security-positions/6247111735.html,Full time Security positions,Orlando
https://orlando.craigslist.org/sec/d/security-officer-licensed/6245147160.html,Security Officer/G Licensed Armed Guards,
https://orlando.craigslist.org/sec/d/security-training-and-help/6244934930.html,Security Training and help with Job Placement,144 S. Semoran Blvd
https://orlando.craigslist.org/sec/d/private-investigator/6244923861.html,Private Investigator/Surveillance PART-TIME (FL),Florida
https://orlando.craigslist.org/sec/d/dunbar-armored-hiring-driver/6244174215.html,Dunbar Armored- Hiring Driver/Guards! (Orlando),
https://orlando.craigslist.org/sec/d/armed-protection-and-patrols/6243807814.html,"Armed Protection and Patrols Officers, Full time!",Orlando
https://orlando.craigslist.org/sec/d/needed-security-officers-job/6243794966.html,"Needed Security Officers, JOB FAIR, Tuesday 1-Aug",orlando
https://orlando.craigslist.org/sec/d/security-officer-jobs-orlando/6243391038.html,Security Officer Jobs - Orlando - Multiple Positions - FT & PT,Orlando
https://orlando.craigslist.org/sec/d/security-position/6242781159.html,Security Position,Orlando/Kissimmee
https://orlando.craigslist.org/sec/d/security-officer-immediate/6241774741.html,Security Officer Immediate Hire!,"Orlando,Mellbourn Fl"
https://orlando.craigslist.org/sec/d/high-end-class-licensed/6240478168.html,High End Class Licensed Security Officers Needed {First Shift},Orlando
https://orlando.craigslist.org/sec/d/job-fair-for-security/6239352995.html,"JOB FAIR for Security Officers Tuesday, 1-Aug @ 9:00 am to 12:00 pm",Orlando
https://orlando.craigslist.org/sec/d/security-officer-jobs-orlando/6239263770.html,Security Officer Jobs - Orlando - Multiple Positions - FT & PT,Orlando
https://spacecoast.craigslist.org/sec/d/armed-security-officer/6280497929.html,Armed Security Officer,
https://spacecoast.craigslist.org/sec/d/access-control-officer/6279535979.html,Access Control Officer,
https://spacecoast.craigslist.org/sec/d/ft-upscale-armed-valet/6279155855.html,"FT Upscale, Armed, Valet Security Officers, Melbourne",
https://spacecoast.craigslist.org/sec/d/sunday-funday-make-an-extra/6278320798.html,Sunday FUNDAY!!!! Make an Extra 5K a year working on Sundays,
https://spacecoast.craigslist.org/sec/d/security-positions-available/6276780806.html,Security Positions Available,
https://spacecoast.craigslist.org/sec/d/ft-upscale-armed-valet/6276764274.html,"FT Upscale, Armed, Valet Security Officers, Melbourne",
https://spacecoast.craigslist.org/sec/d/maritime-security-officers/6276643257.html,MARITIME SECURITY OFFICERS FOR PORT CANAVERAL,
https://spacecoast.craigslist.org/sec/d/medical-marijuana-budtenders/6273430335.html,"✚ Medical Marijuana Budtenders, Trimmers & Growers. ✚",
https://lakeland.craigslist.org/sec/d/security-guards-needed-asap/6277997786.html,Security Guards Needed ASAP,
https://lakeland.craigslist.org/sec/d/hotel-security-officer-needed/6277923048.html,Hotel Security Officer Needed,
https://lakeland.craigslist.org/sec/d/security-officer-healthcare/6272061963.html,Security Officer - Healthcare Security,
https://lakeland.craigslist.org/sec/d/full-time-unarmed-security/6270051751.html,Full Time Unarmed Security Officer Needed ASAP!,
https://lakeland.craigslist.org/sec/d/12-hr-full-time-position/6269360932.html,$12/hr FULL TIME position available!,
https://daytona.craigslist.org/sec/d/security-officer-needed/6278090825.html,SECURITY OFFICER NEEDED IMMEDIATELY FOR NEW SMYRNA,
https://daytona.craigslist.org/sec/d/immediate-openings-license/6273769214.html,"Immediate Openings, D License, Daytona & Deland",
https://daytona.craigslist.org/sec/d/now-hiring-security-officers/6273464770.html,NOW HIRING SECURITY OFFICERS - START IMMEDIATELY,
https://daytona.craigslist.org/sec/d/medical-marijuana-budtenders/6273431169.html,"✚ Medical Marijuana Budtenders, Trimmers & Growers. ✚",
https://daytona.craigslist.org/sec/d/now-hiring-security-officers/6272975539.html,NOW HIRING SECURITY OFFICERS FT/PT,
https://ocala.craigslist.org/sec/d/security-officer-classes/6279621144.html,SECURITY OFFICER CLASSES,
https://ocala.craigslist.org/sec/d/security-officer-night/6279548515.html,"Security Officer Night Classes offered in Leesburg, FL",
https://ocala.craigslist.org/sec/d/armed-security-officer/6273453817.html,Armed Security Officer,
https://cfl.craigslist.org/sec/d/12-hr-hardee-county/6269358851.html,$12/hr Hardee County,
https://tampa.craigslist.org/hil/sec/d/security-license-training-job/6282560369.html,Security license training & job placement assist!Live Scan Fingerprint,
https://tampa.craigslist.org/hil/sec/d/armed-protection-officers/6282557545.html,"Armed Protection Officers, Patrol Officers, School Protection Officers",
https://tampa.craigslist.org/hdo/sec/d/security-officers-hospital/6279380241.html,Security Officers- Hospital  $10.75 per hour,
https://tampa.craigslist.org/hil/sec/d/regional-command-center/6278789789.html,"Regional Command Center Operator (Tampa, FL)",
https://tampa.craigslist.org/pnl/sec/d/security-officer-dcurrent/6278219279.html,"Security Officer ""D""CURRENT License Required",
https://tampa.craigslist.org/hil/sec/d/security-and-armed-guard/6277194066.html,Security and armed guard classes,
https://tampa.craigslist.org/hil/sec/d/seeking-maritime-security/6276650139.html,SEEKING MARITIME SECURITY OFFICERS FOR PORT OF TAMPA,
https://tampa.craigslist.org/pnl/sec/d/security-officers-now-hiring/6276350402.html,Security Officers Now Hiring  S.Pasadena and N  St Pete Patrol Officer,
https://tampa.craigslist.org/hil/sec/d/event-security-20-events-12-hr/6274000222.html,Event Security - 20+ events $12/hr,
https://tampa.craigslist.org/pnl/sec/d/landscaping-helper-needed-for/6273473143.html,LANDSCAPING HELPER NEEDED FOR BEACH RESORTS!,
https://tampa.craigslist.org/hil/sec/d/armed-protection-officers/6273436002.html,"Armed Protection Officers, Patrol Officers, School Protection Officers",
https://tampa.craigslist.org/pnl/sec/d/restaurant-bar-security/6270424906.html,Restaurant/Bar Security/Customer Relations,
https://tampa.craigslist.org/hil/sec/d/5-pt-ft-security-officers/6270201321.html,5 PT/FT Security Officers Needed,
https://tampa.craigslist.org/hil/sec/d/licensed-security-officer/6270046844.html,licensed security officer,
